Package                           Version                Build                  Size       Kind   Source
_openmp_mutex                     4.5                    20_gnu                 51 KiB     conda  https://conda.anaconda.org/conda-forge/
_python_abi3_support              1.0                    hd8ed1ab_2             8 KiB      conda  https://conda.anaconda.org/conda-forge/
anaconda-auth                     0.14.4                 pyhd8ed1ab_0           52.5 KiB   conda  https://conda.anaconda.org/conda-forge/
anaconda-cli-base                 0.8.2                  pyhc364b38_0           28.9 KiB   conda  https://conda.anaconda.org/conda-forge/
anaconda-client                   1.14.1                 pyhcf101f3_0           80.8 KiB   conda  https://conda.anaconda.org/conda-forge/
annotated-doc                     0.0.4                  pyhcf101f3_0           13.9 KiB   conda  https://conda.anaconda.org/conda-forge/
annotated-types                   0.7.0                  pyhd8ed1ab_1           17.7 KiB   conda  https://conda.anaconda.org/conda-forge/
anyio                             4.13.0                 pyhcf101f3_0           143.3 KiB  conda  https://conda.anaconda.org/conda-forge/
apache_airflow_client             3.0.2                                         2.6 MiB    pypi   apache_airflow_client-3.0.2-py3-none-any.whl
appligator                        0.1.0.dev0                                               pypi    (editable)
argcomplete                       3.6.3                  pyhd8ed1ab_0           41.4 KiB   conda  https://conda.anaconda.org/conda-forge/
argon2-cffi                       25.1.0                 pyhd8ed1ab_0           18.3 KiB   conda  https://conda.anaconda.org/conda-forge/
argon2-cffi-bindings              25.1.0                 py314h5a2d7ad_2        37.7 KiB   conda  https://conda.anaconda.org/conda-forge/
arrow                             1.4.0                  pyhcf101f3_0           111.2 KiB  conda  https://conda.anaconda.org/conda-forge/
asttokens                         3.0.1                  pyhd8ed1ab_0           28.1 KiB   conda  https://conda.anaconda.org/conda-forge/
async-lru                         2.3.0                  pyhcf101f3_0           22.4 KiB   conda  https://conda.anaconda.org/conda-forge/
attrs                             26.1.0                 pyhcf101f3_0           63.4 KiB   conda  https://conda.anaconda.org/conda-forge/
aws-c-auth                        0.10.1                 h5d51246_2             124.4 KiB  conda  https://conda.anaconda.org/conda-forge/
aws-c-cal                         0.9.13                 h46f3b43_1             52.4 KiB   conda  https://conda.anaconda.org/conda-forge/
aws-c-common                      0.12.6                 hfd05255_0             230.9 KiB  conda  https://conda.anaconda.org/conda-forge/
aws-c-compression                 0.3.2                  hcb3a2da_0             22.5 KiB   conda  https://conda.anaconda.org/conda-forge/
aws-c-event-stream                0.6.0                  h87b2689_1             56.2 KiB   conda  https://conda.anaconda.org/conda-forge/
aws-c-http                        0.10.12                h612f3e8_1             202.9 KiB  conda  https://conda.anaconda.org/conda-forge/
aws-c-io                          0.26.3                 h0d5b9f9_1             178 KiB    conda  https://conda.anaconda.org/conda-forge/
aws-c-mqtt                        0.15.2                 h904b250_1             207.3 KiB  conda  https://conda.anaconda.org/conda-forge/
aws-c-s3                          0.11.5                 h87bd87b_5             138.4 KiB  conda  https://conda.anaconda.org/conda-forge/
aws-c-sdkutils                    0.2.4                  hcb3a2da_4             55.2 KiB   conda  https://conda.anaconda.org/conda-forge/
aws-checksums                     0.2.10                 hcb3a2da_0             114.1 KiB  conda  https://conda.anaconda.org/conda-forge/
aws-crt-cpp                       0.37.4                 h4f72eff_3             297 KiB    conda  https://conda.anaconda.org/conda-forge/
aws-sdk-cpp                       1.11.747               hd55a107_3             22.7 MiB   conda  https://conda.anaconda.org/conda-forge/
azure-core-cpp                    1.16.2                 h49e36cd_0             489.2 KiB  conda  https://conda.anaconda.org/conda-forge/
azure-identity-cpp                1.13.3                 h5ffce34_1             415 KiB    conda  https://conda.anaconda.org/conda-forge/
azure-storage-blobs-cpp           12.16.0                hcd625b1_1             763.3 KiB  conda  https://conda.anaconda.org/conda-forge/
azure-storage-common-cpp          12.12.0                h5ffce34_1             240.5 KiB  conda  https://conda.anaconda.org/conda-forge/
azure-storage-files-datalake-cpp  12.14.0                h1678c0b_1             428.6 KiB  conda  https://conda.anaconda.org/conda-forge/
babel                             2.18.0                 pyhcf101f3_1           7.3 MiB    conda  https://conda.anaconda.org/conda-forge/
backports                         1.0                    pyhd8ed1ab_5           6.9 KiB    conda  https://conda.anaconda.org/conda-forge/
